Item,Language,Participant,Participant,Gender,Age,Rating
soldier,Hungarian,hu_65,,female,35-45,0
soldier,Hungarian,hu_66,,female,25-35,-1
soldier,Hungarian,hu_67,,male,<25,-2
soldier,Hungarian,hu_68,,female,35-45,0
soldier,Hungarian,hu_70,,male,25-35,0
soldier,Hungarian,hu_71,,female,25-35,-2
soldier,Hungarian,hu_72,,male,<25,-1
soldier,Hungarian,hu_73,,female,25-35,-2
soldier,Hungarian,hu_74,,male,25-35,-1
soldier,Hungarian,hu_76,,male,45-55,-2
soldier,Hungarian,hu_77,,female,25-35,-2
soldier,Hungarian,hu_78,,male,35-45,-3
soldier,Hungarian,hu_79,,female,25-35,-2
soldier,Hungarian,hu_80,,male,25-35,-2
soldier,Hungarian,hu_81,,female,25-35,0
soldier,Hungarian,hu_82,,male,35-45,-2
soldier,Hungarian,hu_83,,female,35-45,-2
soldier,Hungarian,hu_84,,female,25-35,-2
soldier,Hungarian,hu_85,,female,35-45,-1
soldier,Hungarian,hu_86,,female,45-55,-2
soldier,Hungarian,hu_87,,female,<25,-1
soldier,Hungarian,hu_88,,male,35-45,-2
soldier,Hungarian,hu_89,,female,<25,-2
soldier,Hungarian,hu_90,,female,25-35,-1
soldier,Hungarian,hu_93,,male,25-35,-2
soldier,Hungarian,hu_95,,male,35-45,-2
soldier,Hungarian,hu_96,,male,25-35,-2
soldier,Hungarian,hu_97,,female,35-45,-2
soldier,Hungarian,hu_99,,male,35-45,-2
pathologist,Hungarian,hu_1,,male,25-35,0
pathologist,Hungarian,hu_2,,male,45-55,-1
pathologist,Hungarian,hu_3,,male,25-35,0
pathologist,Hungarian,hu_4,,male,35-45,-1
pathologist,Hungarian,hu_5,,male,25-35,-2
pathologist,Hungarian,hu_6,,male,25-35,-1
pathologist,Hungarian,hu_7,,female,35-45,-1
pathologist,Hungarian,hu_8,,female,45-55,-2
pathologist,Hungarian,hu_9,,male,25-35,-2
pathologist,Hungarian,hu_10,,male,35-45,0
pathologist,Hungarian,hu_11,,female,45-55,0
pathologist,Hungarian,hu_12,,male,25-35,-1
pathologist,Hungarian,hu_14,,female,25-35,0
pathologist,Hungarian,hu_15,,female,35-45,-1
pathologist,Hungarian,hu_16,,female,25-35,0
pathologist,Hungarian,hu_17,,female,45-55,0
pathologist,Hungarian,hu_18,,female,45-55,0
pathologist,Hungarian,hu_19,,female,25-35,0
pathologist,Hungarian,hu_20,,female,25-35,-2
pathologist,Hungarian,hu_21,,female,25-35,0
pathologist,Hungarian,hu_22,,male,25-35,-2
pathologist,Hungarian,hu_23,,male,25-35,0
pathologist,Hungarian,hu_24,,male,25-35,-1
pathologist,Hungarian,hu_25,,male,25-35,-2
pathologist,Hungarian,hu_26,,female,25-35,0
pathologist,Hungarian,hu_28,,male,25-35,0
pathologist,Hungarian,hu_30,,female,25-35,0
pathologist,Hungarian,hu_31,,male,25-35,-2
pathologist,Hungarian,hu_33,,male,35-45,0
pathologist,Hungarian,hu_34,,female,25-35,-3
pathologist,Hungarian,hu_35,,male,35-45,0
pathologist,Hungarian,hu_36,,male,25-35,-1
pathologist,Hungarian,hu_37,,male,25-35,0
pathologist,Hungarian,hu_38,,female,35-45,-2
pathologist,Hungarian,hu_40,,male,25-35,-2
pathologist,Hungarian,hu_42,,female,25-35,-2
pathologist,Hungarian,hu_43,,male,25-35,-2
pathologist,Hungarian,hu_44,,male,25-35,-2
pathologist,Hungarian,hu_45,,female,<25,0
pathologist,Hungarian,hu_46,,female,25-35,0
pathologist,Hungarian,hu_47,,male,25-35,-1
pathologist,Hungarian,hu_48,,male,35-45,0
pathologist,Hungarian,hu_49,,male,25-35,-2
pathologist,Hungarian,hu_50,,male,25-35,-1
pathologist,Hungarian,hu_51,,male,25-35,0
pathologist,Hungarian,hu_52,,male,25-35,0
pathologist,Hungarian,hu_53,,male,25-35,-1
pathologist,Hungarian,hu_54,,male,45-55,0
pathologist,Hungarian,hu_55,,female,35-45,-2
pathologist,Hungarian,hu_56,,female,25-35,-2
pathologist,Hungarian,hu_58,,female,25-35,-1
pathologist,Hungarian,hu_60,,female,25-35,0
pathologist,Hungarian,hu_62,,male,25-35,-1
pathologist,Hungarian,hu_64,,male,<25,-2
pathologist,Hungarian,hu_65,,female,35-45,-2
pathologist,Hungarian,hu_66,,female,25-35,0
pathologist,Hungarian,hu_67,,male,<25,-3
pathologist,Hungarian,hu_68,,female,35-45,0
